queue_id,service_id,called,letter,position,created_date,created_time,updated_date,updated_time
1549,3,1,T,0,2024-02-06,12:10:08,2024-02-06,15:15:15
1550,3,1,T,0,2024-02-06,12:10:22,2024-02-06,15:15:37
1551,3,1,T,0,2024-02-06,12:13:14,2024-02-06,15:56:48
1552,2,1,NR,0,2024-02-06,12:13:48,2024-02-06,15:12:51
1553,2,1,NR,0,2024-02-06,12:17:23,2024-02-06,15:14:07
1554,2,1,NR,0,2024-02-06,12:19:06,2024-02-06,15:15:49
1555,2,1,NR,0,2024-02-06,12:21:18,2024-02-06,15:26:03
1556,2,1,NR,0,2024-02-06,12:21:43,2024-02-06,15:31:46
1557,1,1,W,0,2024-02-06,12:25:55,2024-02-06,13:23:21
1558,1,1,W,0,2024-02-06,12:26:15,2024-02-06,13:28:53
1559,1,1,W,0,2024-02-06,12:29:31,2024-02-06,13:34:57
1560,2,1,NR,0,2024-02-06,12:30:23,2024-02-06,15:33:02
1561,1,1,W,0,2024-02-06,12:30:52,2024-02-06,13:35:53
1562,2,1,NR,0,2024-02-06,12:32:36,2024-02-06,15:34:00
1563,1,1,W,0,2024-02-06,12:35:26,2024-02-06,13:42:37
1564,1,1,W,0,2024-02-06,12:36:16,2024-02-06,13:47:14
1565,1,1,W,0,2024-02-06,12:40:20,2024-02-06,13:48:09
1566,2,1,NR,0,2024-02-06,12:40:34,2024-02-06,15:34:25
1567,3,1,T,0,2024-02-06,12:40:43,2024-02-06,15:57:18
1568,2,1,NR,0,2024-02-06,13:15:01,2024-02-06,15:35:07
1569,2,1,NR,0,2024-02-06,13:15:12,2024-02-06,15:37:35
1570,1,1,W,0,2024-02-06,13:15:23,2024-02-06,13:48:32
1571,2,1,NR,0,2024-02-06,13:15:36,2024-02-06,15:48:18
1572,2,1,NR,0,2024-02-06,13:16:11,2024-02-06,15:58:33
1573,2,1,NR,0,2024-02-06,13:16:22,2024-02-06,15:59:11
1574,2,1,NR,0,2024-02-06,13:18:06,2024-02-06,16:01:06
1575,2,1,NR,0,2024-02-06,13:18:26,2024-02-06,16:17:40
1576,2,1,NR,0,2024-02-06,13:18:44,2024-02-06,16:19:23
1577,1,1,W,0,2024-02-06,13:19:02,2024-02-06,13:48:45
1578,2,1,NR,0,2024-02-06,13:19:39,2024-02-06,16:21:14
1579,1,1,W,0,2024-02-06,13:19:46,2024-02-06,13:48:53
1580,2,1,NR,0,2024-02-06,13:20:12,2024-02-06,16:32:13
1581,1,1,W,0,2024-02-06,13:20:51,2024-02-06,13:55:36
1582,2,1,NR,0,2024-02-06,13:21:49,2024-02-06,16:36:20
1583,2,1,NR,0,2024-02-06,13:27:46,2024-02-06,16:38:21
1584,2,1,NR,0,2024-02-06,13:27:53,2024-02-06,16:42:47
1585,2,1,NR,0,2024-02-06,13:28:41,2024-02-06,16:48:58
1586,2,1,NR,0,2024-02-06,13:29:03,2024-02-06,16:52:15
1587,1,1,W,0,2024-02-06,13:29:11,2024-02-06,13:57:41
1588,2,1,NR,0,2024-02-06,13:30:55,2024-02-06,16:53:16
1589,1,1,W,0,2024-02-06,13:32:44,2024-02-06,14:02:54
1590,2,1,NR,0,2024-02-06,13:35:22,2024-02-06,16:54:23
1591,1,1,W,0,2024-02-06,13:36:42,2024-02-06,14:04:36
1592,3,1,T,0,2024-02-06,13:36:56,2024-02-06,15:57:32
1593,2,1,NR,0,2024-02-06,13:39:23,2024-02-06,17:06:18
1594,3,1,T,0,2024-02-06,13:39:41,2024-02-06,16:22:15
1595,1,1,W,0,2024-02-06,13:39:50,2024-02-06,14:08:04
1596,1,1,W,0,2024-02-06,13:42:41,2024-02-06,14:15:13
1597,1,1,W,0,2024-02-06,13:42:50,2024-02-06,14:20:14
1598,1,1,W,0,2024-02-06,13:42:55,2024-02-06,14:21:13
1599,1,1,W,0,2024-02-06,13:43:07,2024-02-06,14:27:09
1600,1,1,W,0,2024-02-06,14:00:24,2024-02-06,14:27:27
1601,1,1,W,0,2024-02-06,14:01:12,2024-02-06,14:30:57
1602,2,1,NR,0,2024-02-06,14:03:05,2024-02-06,17:06:26
1603,2,1,NR,0,2024-02-06,14:03:21,2024-02-06,17:13:24
1604,2,1,NR,0,2024-02-06,14:08:28,2024-02-06,17:13:48
1605,1,1,W,0,2024-02-06,14:08:42,2024-02-06,14:33:45
1606,2,1,NR,0,2024-02-06,14:08:52,2024-02-06,17:14:06
1607,2,1,NR,0,2024-02-06,14:11:42,2024-02-06,17:14:08
1608,2,1,NR,0,2024-02-06,14:12:17,2024-02-06,17:22:12
1609,2,1,NR,0,2024-02-06,14:12:31,2024-02-06,17:25:25
1610,2,1,NR,0,2024-02-06,14:13:40,2024-02-06,17:26:04
1611,1,1,W,0,2024-02-06,14:15:40,2024-02-06,14:37:17
1612,2,1,NR,0,2024-02-06,14:18:23,2024-02-06,17:28:41
1613,1,1,W,0,2024-02-06,14:19:54,2024-02-06,14:40:08
1614,1,1,W,0,2024-02-06,14:25:46,2024-02-06,14:41:48
1615,1,1,W,0,2024-02-06,14:30:16,2024-02-06,14:42:37
1616,1,1,W,0,2024-02-06,14:31:38,2024-02-06,14:45:09
1617,1,1,W,0,2024-02-06,14:32:54,2024-02-06,14:45:31
1618,1,1,W,0,2024-02-06,14:34:33,2024-02-06,14:45:43
1619,2,1,NR,0,2024-02-06,14:36:24,2024-02-06,17:30:48
1620,2,1,NR,0,2024-02-06,14:39:38,2024-02-06,17:32:03
1621,1,1,W,0,2024-02-06,14:46:34,2024-02-06,14:56:55
1622,2,1,NR,0,2024-02-06,14:48:16,2024-02-06,17:32:24
1623,3,1,T,0,2024-02-06,14:48:28,2024-02-06,16:41:15
1624,1,1,W,0,2024-02-06,14:48:49,2024-02-06,15:03:39
1625,2,1,NR,0,2024-02-06,14:52:02,2024-02-06,17:34:30
1626,2,1,NR,0,2024-02-06,14:52:58,2024-02-06,17:42:02
1627,2,1,NR,0,2024-02-06,15:04:10,2024-02-06,17:43:27
1628,1,1,W,0,2024-02-06,15:06:29,2024-02-06,15:46:28
1629,1,1,W,0,2024-02-06,15:07:08,2024-02-06,15:52:31
1630,2,1,NR,0,2024-02-06,15:08:26,2024-02-06,17:44:07
1631,1,1,W,0,2024-02-06,15:08:28,2024-02-06,16:07:50
1632,2,1,NR,0,2024-02-06,15:08:49,2024-02-06,17:45:57
1633,2,1,NR,0,2024-02-06,15:09:06,2024-02-06,17:50:16
1634,2,1,NR,0,2024-02-06,15:09:10,2024-02-06,17:54:00
1635,1,1,W,0,2024-02-06,15:15:20,2024-02-06,16:12:16
1636,1,1,W,0,2024-02-06,15:21:17,2024-02-06,16:38:57
1637,1,1,W,0,2024-02-06,15:28:58,2024-02-06,16:45:58
1638,2,1,NR,0,2024-02-06,15:29:07,2024-02-06,17:55:50
1639,1,1,W,0,2024-02-06,15:32:43,2024-02-06,16:52:55
1640,2,1,NR,0,2024-02-06,15:33:38,2024-02-06,17:56:38
1641,1,1,W,0,2024-02-06,15:36:48,2024-02-06,16:58:29
1642,2,1,NR,0,2024-02-06,15:36:56,2024-02-06,18:00:38
1643,1,1,W,0,2024-02-06,15:38:31,2024-02-06,17:10:44
1644,2,1,NR,0,2024-02-06,15:48:33,2024-02-06,18:01:43
1645,1,1,W,0,2024-02-06,15:51:42,2024-02-06,17:11:32
1646,2,1,NR,0,2024-02-06,15:52:25,2024-02-06,18:02:12
1647,2,1,NR,0,2024-02-06,15:54:07,2024-02-06,18:04:03
1648,2,1,NR,0,2024-02-06,15:55:16,2024-02-06,18:07:39
1649,2,1,NR,0,2024-02-06,15:56:14,2024-02-06,18:08:07
1650,1,1,W,0,2024-02-06,15:57:34,2024-02-06,17:18:38
1651,1,1,W,0,2024-02-06,16:12:52,2024-02-06,17:22:09
1652,2,1,NR,0,2024-02-06,16:21:33,2024-02-06,18:09:02
1653,2,1,NR,0,2024-02-06,16:24:38,2024-02-06,18:12:36
1654,2,1,NR,0,2024-02-06,16:34:24,2024-02-06,18:15:40
1655,2,1,NR,0,2024-02-06,16:43:56,2024-02-06,18:16:47
1656,2,1,NR,0,2024-02-06,16:45:05,2024-02-06,18:20:01
1657,2,1,NR,0,2024-02-06,16:56:15,2024-02-06,18:24:35
1658,2,1,NR,0,2024-02-07,09:34:21,2024-02-07,10:08:17
1659,1,1,W,0,2024-02-07,09:34:45,2024-02-07,10:26:29
1660,2,1,NR,0,2024-02-07,09:37:55,2024-02-07,10:17:20
